formulation,model_case,time_h,global_node_id,layer_id,layer_name,x_global_cm,concentration_ug_cm3,x_skin_cm,x_skin_um
Free KC,Case 1,12.0,40,3,EP/dermis,0.4635854545454546,131.11422119093797,0.009040000000000048,90.40000000000047
Free KC,Case 1,12.0,41,3,EP/dermis,0.46446545454545457,129.66446271466413,0.00992000000000004,99.2000000000004
Free KC,Case 1,12.0,42,3,EP/dermis,0.46534545454545456,128.21531966259235,0.010800000000000032,108.00000000000031
Free KC,Case 1,12.0,43,3,EP/dermis,0.4662254545454546,126.76679533243284,0.01168000000000008,116.8000000000008
Free KC,Case 1,12.0,44,3,EP/dermis,0.4671054545454546,125.3188927435655,0.012560000000000071,125.6000000000007
Free KC,Case 1,12.0,45,3,EP/dermis,0.4679854545454546,123.87161463729302,0.013440000000000063,134.40000000000063
Free KC,Case 1,12.0,46,3,EP/dermis,0.4688654545454546,122.42496347717868,0.014320000000000055,143.20000000000056
Free KC,Case 1,12.0,47,3,EP/dermis,0.4697454545454546,120.97894144946038,0.015200000000000047,152.00000000000045
Free KC,Case 1,12.0,48,3,EP/dermis,0.47062545454545457,119.53355046354628,0.01608000000000004,160.80000000000038
Free KC,Case 1,12.0,49,3,EP/dermis,0.47150545454545456,118.0887921525874,0.01696000000000003,169.6000000000003
Free KC,Case 1,12.0,50,3,EP/dermis,0.4723854545454546,116.64466787413325,0.017840000000000078,178.40000000000077
Free KC,Case 1,12.0,51,3,EP/dermis,0.4732654545454546,115.20117871086302,0.01872000000000007,187.2000000000007
Free KC,Case 1,12.0,52,3,EP/dermis,0.4741454545454546,113.75832547139804,0.019600000000000062,196.00000000000063
Free KC,Case 1,12.0,53,3,EP/dermis,0.4750254545454546,112.31610869119275,0.020480000000000054,204.80000000000052
Free KC,Case 1,12.0,54,3,EP/dermis,0.4759054545454546,110.87452863350337,0.021360000000000046,213.60000000000045
Free KC,Case 1,12.0,55,3,EP/dermis,0.47678545454545457,109.43358529043626,0.022240000000000038,222.40000000000038
Free KC,Case 1,12.0,56,3,EP/dermis,0.4776654545454546,107.99327838407086,0.023120000000000085,231.20000000000084
Free KC,Case 1,12.0,57,3,EP/dermis,0.4785454545454546,106.5536073676639,0.024000000000000077,240.00000000000077
Free KC,Case 1,12.0,58,3,EP/dermis,0.4794254545454546,105.11457142692899,0.02488000000000007,248.8000000000007
Free KC,Case 1,12.0,59,3,EP/dermis,0.4803054545454546,103.67616948139204,0.02576000000000006,257.6000000000006
Free KC,Case 1,12.0,60,3,EP/dermis,0.4811854545454546,102.23840018582646,0.026640000000000053,266.40000000000055
Free KC,Case 1,12.0,61,3,EP/dermis,0.4820654545454546,100.80126193176226,0.027520000000000044,275.20000000000044
Free KC,Case 1,12.0,62,3,EP/dermis,0.48294545454545457,99.36475284906842,0.028400000000000036,284.00000000000034
Free KC,Case 1,12.0,63,3,EP/dermis,0.48382545454545456,97.9288708076153,0.029280000000000028,292.8000000000003
Free KC,Case 1,12.0,64,3,EP/dermis,0.4847054545454546,96.49361341900789,0.030160000000000076,301.60000000000076
Free KC,Case 1,12.0,65,3,EP/dermis,0.4855854545454546,95.05897803839554,0.031040000000000068,310.40000000000066
Free KC,Case 1,12.0,66,3,EP/dermis,0.4864654545454546,93.62496176635362,0.03192000000000006,319.2000000000006
Free KC,Case 1,12.0,67,3,EP/dermis,0.4873454545454546,92.19156145083925,0.03280000000000005,328.0000000000005
Free KC,Case 1,12.0,68,3,EP/dermis,0.4882254545454546,90.75877368922023,0.03368000000000004,336.8000000000004
Free KC,Case 1,12.0,69,3,EP/dermis,0.48910545454545457,89.32659483037338,0.034560000000000035,345.60000000000036
Free KC,Case 1,12.0,70,3,EP/dermis,0.4899854545454546,87.89502097685696,0.03544000000000008,354.40000000000083
Free KC,Case 1,12.0,71,3,EP/dermis,0.4908654545454546,86.46404798715304,0.036320000000000074,363.2000000000007
Free KC,Case 1,12.0,72,3,EP/dermis,0.4917454545454546,85.03367147797788,0.037200000000000066,372.0000000000007
Free KC,Case 1,12.0,73,3,EP/dermis,0.4926254545454546,83.6038868266662,0.03808000000000006,380.8000000000006
Free KC,Case 1,12.0,74,3,EP/dermis,0.4935054545454546,82.17468917361934,0.03896000000000005,389.6000000000005
Free KC,Case 1,12.0,75,3,EP/dermis,0.4943854545454546,80.74607342482496,0.03984000000000004,398.40000000000043
Free KC,Case 1,12.0,76,3,EP/dermis,0.49526545454545456,79.31803425444247,0.040720000000000034,407.20000000000033
Free KC,Case 1,12.0,77,3,EP/dermis,0.49614545454545456,77.89056610745527,0.041600000000000026,416.0000000000003
Free KC,Case 1,12.0,78,3,EP/dermis,0.4970254545454546,76.46366320238663,0.04248000000000007,424.80000000000075
Free KC,Case 1,12.0,79,3,EP/dermis,0.4979054545454546,75.03731953408634,0.043360000000000065,433.60000000000065
Free KC,Case 1,12.0,80,3,EP/dermis,0.4987854545454546,73.61152887657518,0.04424000000000006,442.40000000000055
Free KC,Case 1,12.0,81,3,EP/dermis,0.4996654545454546,72.18628478595681,0.04512000000000005,451.2000000000005
Free KC,Case 1,12.0,82,3,EP/dermis,0.5005454545454546,70.76158060339073,0.046000000000000096,460.00000000000097
Free KC,Case 1,12.0,83,3,EP/dermis,0.5014254545454546,69.33740945812701,0.04688000000000009,468.80000000000086
Free KC,Case 1,12.0,84,3,EP/dermis,0.5023054545454546,67.91376427060214,0.04776000000000008,477.6000000000008
Free KC,Case 1,12.0,85,3,EP/dermis,0.5031854545454546,66.49063775559438,0.04864000000000007,486.4000000000007
Free KC,Case 1,12.0,86,3,EP/dermis,0.5040654545454546,65.06802242543935,0.049520000000000064,495.2000000000006
Free KC,Case 1,12.0,87,3,EP/dermis,0.5049454545454546,63.64591059330244,0.050400000000000056,504.00000000000057
Free KC,Case 1,12.0,88,3,EP/dermis,0.5058254545454546,62.22429437650877,0.05128000000000005,512.8000000000005
Free KC,Case 1,12.0,89,3,EP/dermis,0.5067054545454546,60.80316569992906,0.05216000000000004,521.6000000000004
Free KC,Case 1,12.0,90,3,EP/dermis,0.5075854545454546,59.38251629942147,0.05304000000000003,530.4000000000003
Free KC,Case 1,12.0,91,3,EP/dermis,0.5084654545454546,57.96233772532767,0.05392000000000002,539.2000000000003
Free KC,Case 1,12.0,92,3,EP/dermis,0.5093454545454545,56.542621346021434,0.054800000000000015,548.0000000000001
Free KC,Case 1,12.0,93,3,EP/dermis,0.5102254545454545,55.12335835150943,0.05568000000000001,556.8000000000001
Free KC,Case 1,12.0,94,3,EP/dermis,0.5111054545454545,53.70453975708454,0.05656,565.6
Free KC,Case 1,12.0,95,3,EP/dermis,0.5119854545454546,52.28615640702725,0.0574400000000001,574.400000000001
Free KC,Case 1,12.0,96,3,EP/dermis,0.5128654545454546,50.868198978359636,0.058320000000000094,583.200000000001
Free KC,Case 1,12.0,97,3,EP/dermis,0.5137454545454546,49.45065798464157,0.059200000000000086,592.0000000000009
Free KC,Case 1,12.0,98,3,EP/dermis,0.5146254545454546,48.03352377982071,0.06008000000000008,600.8000000000008
Free KC,Case 1,12.0,99,3,EP/dermis,0.5155054545454546,46.616786562122215,0.06096000000000007,609.6000000000007
Free KC,Case 1,12.0,100,3,EP/dermis,0.5163854545454546,45.200436377987415,0.06184000000000006,618.4000000000007
