time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,C_receptor_model_ug_mL,C_receptor_model_ug_cm3
16.2,462.2045005929312,0.9215836001184008,6.311895755961635,16.061450712456143,485.4994306614673,Free KC,Case 1,5.4361833180620796,5.4361833180620796
16.400000000000002,461.9410310544782,0.9211153480980117,6.311578294065234,16.32570596473022,485.4994306613716,Free KC,Case 1,5.525623557293305,5.525623557293305
16.6,461.67773527616407,0.9206441009208598,6.311071680866431,16.589979603320018,485.4994306612714,Free KC,Case 1,5.615070019585237,5.615070019585237
16.8,461.4146117782389,0.9201700502286608,6.310387048995024,16.85426178371769,485.4994306611802,Free KC,Case 1,5.704519372950603,5.704519372950603
17.0,461.15165916103183,0.91969337665618,6.30953489203284,17.118543231386816,485.4994306611077,Free KC,Case 1,5.793968478315539,5.793968478315539
17.2,460.8888761063957,0.9192142496334804,6.308525052829279,17.38281525218434,485.4994306610428,Free KC,Case 1,5.883414393047008,5.883414393047008
17.400000000000002,460.6262613610231,0.9187328296773356,6.307366857085247,17.647069613206224,485.49943066099183,Free KC,Case 1,5.972854330623646,5.972854330623646
17.6,460.363813747486,0.9182492668549174,6.306069024971462,17.911298621625278,485.49943066093766,Free KC,Case 1,6.062285687319325,6.062285687319325
17.8,460.1015321448422,0.9177637034776474,6.304639825964549,18.17549498657593,485.4994306608604,Free KC,Case 1,6.151705995456469,6.151705995456469
18.0,459.8394154973228,0.917276272922877,6.3030870096425895,18.4396518808835,485.4994306607717,Free KC,Case 1,6.241112944299031,6.241112944299031
18.2,459.5774628053044,0.9167871008630974,6.3014178776925895,18.703762876835388,485.49943066069545,Free KC,Case 1,6.330504358313517,6.330504358313517
18.4,459.3156731164577,0.9162963064589332,6.299639354473787,18.96782188324173,485.4994306606322,Free KC,Case 1,6.419878175866431,6.419878175866431
