global_node_id,layer_id,layer_name,local_node_id,x_local_cm,x_global_cm,is_left_boundary,is_right_boundary
147,4,Receptor,14,1.3787878787878785,1.923333333333333,False,False
148,4,Receptor,15,1.477272727272727,2.0218181818181815,False,False
149,4,Receptor,16,1.5757575757575755,2.12030303030303,False,False
150,4,Receptor,17,1.6742424242424239,2.2187878787878783,False,False
151,4,Receptor,18,1.7727272727272725,2.317272727272727,False,False
152,4,Receptor,19,1.8712121212121209,2.415757575757575,False,False
153,4,Receptor,20,1.9696969696969693,2.5142424242424237,False,False
154,4,Receptor,21,2.068181818181818,2.6127272727272723,False,False
155,4,Receptor,22,2.166666666666666,2.7112121212121205,False,False
156,4,Receptor,23,2.2651515151515147,2.809696969696969,False,False
157,4,Receptor,24,2.3636363636363633,2.9081818181818178,False,False
158,4,Receptor,25,2.4621212121212115,3.006666666666666,False,False
159,4,Receptor,26,2.56060606060606,3.1051515151515146,False,False
160,4,Receptor,27,2.6590909090909087,3.203636363636363,False,False
161,4,Receptor,28,2.757575757575757,3.3021212121212113,False,False
162,4,Receptor,29,2.8560606060606055,3.40060606060606,False,False
163,4,Receptor,30,2.954545454545454,3.4990909090909086,False,True
