global_element_id,layer_id,layer_name,local_element_id,left_node,right_node,x_left_cm,x_right_cm,element_length_cm
35,3,EP/dermis,5,37,38,0.4609454545454546,0.4618254545454546,0.0008799999999999919
36,3,EP/dermis,6,38,39,0.4618254545454546,0.4627054545454546,0.0008799999999999919
37,3,EP/dermis,7,39,40,0.4627054545454546,0.4635854545454546,0.0008799999999999919
38,3,EP/dermis,8,40,41,0.4635854545454546,0.46446545454545457,0.0008799999999999919
39,3,EP/dermis,9,41,42,0.46446545454545457,0.46534545454545456,0.0008799999999999919
40,3,EP/dermis,10,42,43,0.46534545454545456,0.4662254545454546,0.0008800000000000474
41,3,EP/dermis,11,43,44,0.4662254545454546,0.4671054545454546,0.0008799999999999919
42,3,EP/dermis,12,44,45,0.4671054545454546,0.4679854545454546,0.0008799999999999919
43,3,EP/dermis,13,45,46,0.4679854545454546,0.4688654545454546,0.0008799999999999919
44,3,EP/dermis,14,46,47,0.4688654545454546,0.4697454545454546,0.0008799999999999919
45,3,EP/dermis,15,47,48,0.4697454545454546,0.47062545454545457,0.0008799999999999919
46,3,EP/dermis,16,48,49,0.47062545454545457,0.47150545454545456,0.0008799999999999919
47,3,EP/dermis,17,49,50,0.47150545454545456,0.4723854545454546,0.0008800000000000474
48,3,EP/dermis,18,50,51,0.4723854545454546,0.4732654545454546,0.0008799999999999919
49,3,EP/dermis,19,51,52,0.4732654545454546,0.4741454545454546,0.0008799999999999919
50,3,EP/dermis,20,52,53,0.4741454545454546,0.4750254545454546,0.0008799999999999919
51,3,EP/dermis,21,53,54,0.4750254545454546,0.4759054545454546,0.0008799999999999919
52,3,EP/dermis,22,54,55,0.4759054545454546,0.47678545454545457,0.0008799999999999919
53,3,EP/dermis,23,55,56,0.47678545454545457,0.4776654545454546,0.0008800000000000474
54,3,EP/dermis,24,56,57,0.4776654545454546,0.4785454545454546,0.0008799999999999919
55,3,EP/dermis,25,57,58,0.4785454545454546,0.4794254545454546,0.0008799999999999919
56,3,EP/dermis,26,58,59,0.4794254545454546,0.4803054545454546,0.0008799999999999919
57,3,EP/dermis,27,59,60,0.4803054545454546,0.4811854545454546,0.0008799999999999919
58,3,EP/dermis,28,60,61,0.4811854545454546,0.4820654545454546,0.0008799999999999919
59,3,EP/dermis,29,61,62,0.4820654545454546,0.48294545454545457,0.0008799999999999919
60,3,EP/dermis,30,62,63,0.48294545454545457,0.48382545454545456,0.0008799999999999919
